code,name,street,lat,lon,change_type,change_reason
08058,Aft Dhoby Ghaut Stn,Orchard Rd,1.2989583431631,103.84654115271174,new,New bus stop code
08069,Bencoolen Stn Exit B,Bras Basah Rd,1.29821382250893,103.84936128375956,new,New bus stop code
08079,Sch of the Arts,Prinsep St,1.29921444445586,103.84910329217985,new,New bus stop code
08111,Winsland Hse,Penang Rd,1.29986928715834,103.84093746088925,new,New bus stop code
08121,Somerset Stn,Somerset Rd,1.30027569326586,103.83877618459663,new,New bus stop code
08137,Orchard Plaza,Orchard Rd,1.30073968408393,103.84100500816844,new,New bus stop code
08138,Concorde Hotel S'pore,Orchard Rd,1.3004785730821,103.84184700607595,new,New bus stop code
09011,Opp Ngee Ann City,Orchard Turn,1.30211335092372,103.83431672376756,new,New bus stop code
09022,Orchard Stn Exit 13,Orchard Blvd,1.30252834773643,103.83239784275958,new,New bus stop code
09023,Opp Orchard Stn/ION,Orchard Turn,1.30323727330942,103.83254180023424,new,New bus stop code
09037,Bef Cairnhill Rd,Orchard Rd,1.3023400420296,103.83701253388183,new,New bus stop code
09038,Opp Somerset Stn,Orchard Rd,1.30154262450563,103.83852481842337,new,New bus stop code
09047,Orchard Stn/Tang Plaza,Orchard Rd,1.30446065207443,103.83294467208566,new,New bus stop code
09048,Orchard Stn/Lucky Plaza,Orchard Rd,1.30386684425114,103.83413070051408,new,New bus stop code
09059,Somerset Youth Pk,Grange Rd,1.30044251755834,103.83623804216019,new,New bus stop code
09111,Opp Four Seasons Hotel,Orchard Blvd,1.30453752623147,103.82914529614989,new,New bus stop code
09121,Bef Tomlinson Rd,Orchard Blvd,1.30397379238249,103.82699645124522,new,New bus stop code
09131,Opp Orchard Blvd Stn,Grange Rd,1.30391999998489,103.82333805603095,new,New bus stop code
09139,Orchard Blvd Stn Exit 1,Grange Rd,1.303528,103.823585,new,New bus stop code
09141,British Council,Napier Rd,1.30543500002797,103.82177666702269,new,New bus stop code
09149,Opp British Council,Napier Rd,1.30608981381948,103.8212215023314,new,New bus stop code
09159,Aft Tomlinson Rd,Tanglin Rd,1.30602637557418,103.82568042620605,new,New bus stop code
09169,Delfi Orchard,Orchard Rd,1.3070135326348,103.82835507326037,new,New bus stop code
09179,Royal Thai Embassy,Orchard Rd,1.30587966240898,103.83049004618626,new,New bus stop code
09191,Aft Cuscaden Rd,Tomlinson Rd,1.30488653118311,103.82549755834486,new,New bus stop code
09212,Royal Plaza On Scotts,Scotts Rd,1.30702238421536,103.83265522662566,new,New bus stop code
09213,15 Scotts,Scotts Rd,1.30783805600034,103.83305083303023,new,New bus stop code
09219,Far East Plaza,Scotts Rd,1.30731999685228,103.83316088291699,new,New bus stop code
1012,Hotel Grand Pacific,Victoria St,1.29684825487647,103.85253591654006,removed,Removed bus stop code
1013,St. Joseph's Ch,Victoria St,1.29770970610083,103.8532247463225,removed,Removed bus stop code
1019,Bras Basah Cplx,Victoria St,1.29698951191332,103.85302201172507,removed,Removed bus stop code
1029,Opp Natl Lib,Nth Bridge Rd,1.2966729849642,103.85441422464268,removed,Removed bus stop code
1039,Bugis Cube,Nth Bridge Rd,1.29820784139683,103.85549139837408,removed,Removed bus stop code
1059,Bugis Stn Exit B,Victoria St,1.30075679526626,103.85611040457584,removed,Removed bus stop code
1109,Queen St Ter,Queen St,1.30358577565355,103.85650372998224,removed,Removed bus stop code
