code,name,street,lat,lon,code_normalized,corrected_name,name_source
03341,Bef Gdns by the Bay,Marina Gdns Dr,1.27959780011944,103.8643376844082,03341,Bef Gdns by the Bay,LTA
03349,Aft Gdns by the Bay,Marina Gdns Dr,1.27965600609923,103.8647780795552,03349,Aft Gdns by the Bay,LTA
03361,Gardens by the Bay Stn Exit 2,Marina Gdns Dr,1.279917,103.868895,03361,Gardens by the Bay Stn Exit 2,LTA
03369,Gardens by the Bay Stn Exit 1,Marina Gdns Dr,1.27960772061959,103.8698744774074,03369,Gardens by the Bay Stn Exit 1,LTA
03371,Gdns by the Bay,Marina Gdns Dr,1.28066479303461,103.86626955523418,03371,Gdns by the Bay,LTA
03381,The Sail,Marina Blvd,1.28162601329006,103.85306513725685,03381,The Sail,LTA
03391,Marina Bay Financial Ctr,Marina Blvd,1.28037660340352,103.85498006767988,03391,Marina Bay Financial Ctr,LTA
03411,Opp Marina Sth Pier Stn,Marina Coastal Dr,1.27159299884076,103.86300900488229,03411,Opp Marina Sth Pier Stn,LTA
03419,Marina Sth Pier Stn,Marina Coastal Dr,1.27127698470973,103.86297693157816,03419,Marina Sth Pier Stn,LTA
03421,Marina Bay Cruise Ctr,Marina Coastal Dr,1.26694090294712,103.85964778134667,03421,Marina Bay Cruise Ctr,LTA
03501,Marina Bay Sands Theatre,Bayfront Ave,1.28500467671367,103.8606110538643,03501,Marina Bay Sands Theatre,LTA
03509,Bayfront Stn Exit B/MBS,Bayfront Ave,1.28314999997332,103.86004388891767,03509,Bayfront Stn Exit B/MBS,LTA
03511,Aft Bayfront Stn Exit E,Bayfront Ave,1.28194779470571,103.85897064872482,03511,Aft Bayfront Stn Exit E,LTA
03519,Bayfront Stn Exit A,Bayfront Ave,1.28124500000125,103.85884799997385,03519,Bayfront Stn Exit A,LTA
03529,Downtown Stn Exit E,Central Blvd,1.27939957419063,103.85278769921703,03529,Downtown Stn Exit E,LTA
03539,Marina Bay Stn,Central Blvd,1.2775330547661,103.85561610012866,03539,Marina Bay Stn,LTA
03549,Shenton Way Stn Exit 3,Park Street,1.277728,103.85045,03549,Shenton Way Stn Exit 3,LTA
03579,Opp Downtown Stn,Straits view,1.278832,103.852918,03579,Opp Downtown Stn,LTA
04019,Opp Bencoolen Stn Exit B,Bencoolen St,1.29807216909408,103.84975607305783,04019,Opp Bencoolen Stn Exit B,SimplyGo
04029,Bef Bencoolen Stn Exit A,Bencoolen St,1.29948166696821,103.85092666701239,04029,Bef Bencoolen Stn Exit A,SimplyGo
04111,Capitol Bldg,Stamford Rd,1.29395444170081,103.85139096636622,04111,Capitol Bldg,LTA
04121,SMU,Stamford Rd,1.29618544092334,103.84958029974611,04121,SMU,LTA
04142,Armenian Ch,Hill St,1.2930982644668,103.84965994500728,04142,Armenian Ch,LTA
04143,Stamford Ct,Hill St,1.29411640848293,103.85020606905503,04143,Stamford Ct,LTA
04149,Grand Pk City Hall,Hill St,1.29276132399953,103.84983741344308,04149,Grand Pk City Hall,LTA
04151,Cath of The Good Shepherd,Victoria St,1.29533777799211,103.85113972198121,04151,Cath of The Good Shepherd,SimplyGo
04159,Aft CHIJMES,Victoria St,1.29489484954945,103.85108138663934,04159,Aft CHIJMES,SimplyGo
04167,City Hall Stn Exit B,Nth Bridge Rd,1.29250006522444,103.85145315468638,04167,City Hall Stn Exit B,LTA
04168,Aft City Hall Stn Exit B,Nth Bridge Rd,1.29208221483052,103.85125994680256,04168,Aft City Hall Stn Exit B,LTA
04179,Aft Bras Basah Stn Exit A,Bras Basah Rd,1.29647916306741,103.85147164487202,04179,Aft Bras Basah Stn Exit A,LTA
04211,Clarke Quay,River Valley Rd,1.29043611099357,103.84712444398055,04211,Clarke Quay,LTA
04219,Opp Clarke Quay,River Valley Rd,1.29096802754795,103.84686777836987,04219,Opp Clarke Quay,LTA
04222,Clarke Quay Stn Exit E,Eu Tong Sen St,1.28898962180798,103.84708976365569,04222,Clarke Quay Stn Exit E,LTA
04223,Old Hill St Police Stn,Hill St,1.29084476137495,103.84857901022669,04223,Old Hill St Police Stn,LTA
04229,High St Ctr,Hill St,1.29044830830726,103.84875123545265,04229,High St Ctr,LTA
04239,Opp Clarke Quay Stn,New Bridge Rd,1.28882717929599,103.8474938118651,04239,Opp Clarke Quay Stn,LTA
04249,Opp The Treasury,Nth Bridge Rd,1.29043039362749,103.85026216508201,04249,Opp The Treasury,LTA
04251,Opp High St Ctr,Nth Boat Quay,1.28973833297563,103.84888472198024,04251,Opp High St Ctr,LTA
04311,Aft River Valley Rd,Clemenceau Ave,1.29464575337351,103.8439214229312,04311,Aft River Valley Rd,LTA
04321,UE Sq,Clemenceau Ave,1.2921400077773,103.84303646191061,04321,UE Sq,LTA
04329,Opp UE Sq,Clemenceau Ave,1.29197057108024,103.84328384973516,04329,Opp UE Sq,LTA
