Change Type,Date Changed,Bus Stop Code,New Name,Previous Name,Street/Road
NAME_CHANGED,01/09/2025,25631,Container Connections,CONTAINER CONNECTIONS,Tuas Sth Ave 7
NAME_CHANGED,01/09/2025,25641,Opp Roche S'pore Tech,OPP ROCHE S'PORE TECH,Tuas Sth Ave 9
NAME_CHANGED,01/09/2025,25651,Novartis,NOVARTIS,Tuas Sth Ave 6
NAME_CHANGED,01/09/2025,25671,Bef Offshore Marine Ctr,BEF OFFSHORE MARINE CTR,Tuas Bay Link
NAME_CHANGED,01/09/2025,25681,Bef Tuas West Ave,BEF TUAS WEST AVE,Pioneer Rd
NAME_CHANGED,01/09/2025,25689,Aft Tuas West Ave,AFT TUAS WEST AVE,Pioneer Rd
NAME_CHANGED,01/09/2025,25691,Aft Tuas West Rd Stn,AFT TUAS WEST RD STN,Tuas Ave 20
NAME_CHANGED,01/09/2025,25701,GlaxoSmithKline,GLAXOSMITHKLINE,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25709,Edgen Murray,EDGEN MURRAY,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25711,Opp The Index,OPP THE INDEX,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25719,The Index,THE INDEX,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25729,Abbott,ABBOTT,Tuas Sth Ave 10
NAME_CHANGED,01/09/2025,25741,Halliburton,HALLIBURTON,Tuas Sth Ave 12
NAME_CHANGED,01/09/2025,25751,Bef Tuas Sth Ave 14,BEF TUAS STH AVE 14,Tuas Sth Ave 5
NAME_CHANGED,01/09/2025,25761,Opp REC S'pore,OPP REC S'PORE,Tuas Sth Ave 14
NAME_CHANGED,01/09/2025,25771,Aft Tuas Sth St 7,AFT TUAS STH ST 7,Tuas Sth Ave 14
NAME_CHANGED,01/09/2025,25781,Opp SLS,OPP SLS,Tuas Sth Ave 9
NAME_CHANGED,01/09/2025,25791,Bef Tuas Sth Ave 10,BEF TUAS STH AVE 10,Tuas Sth Ave 9
NAME_CHANGED,01/09/2025,25801,Bef Tuas Sth Ave 7,BEF TUAS STH AVE 7,Tuas Sth Ave 10
NAME_CHANGED,01/09/2025,25821,Tuas Amenity Ctr,TUAS AMENITY CTR,Pioneer Rd
NAME_CHANGED,01/09/2025,26019,Progress Galvanizing,PROGRESS GALVANIZING,Tuas Cres
NAME_CHANGED,01/09/2025,26029,Chia Hock Trading Co,CHIA HOCK TRADING CO,Tuas Cres
NAME_CHANGED,01/09/2025,26039,Asia Polyurethane,ASIA POLYURETHANE,Tuas Cres
NAME_CHANGED,01/09/2025,26041,Hiap Seng Engrg Ltd,HIAP SENG ENGRG LTD,Tuas Cres
NAME_CHANGED,01/09/2025,26051,Blasting Abrasives,BLASTING ABRASIVES,Tuas Cres
NAME_CHANGED,01/09/2025,26059,PaxOcean,PAXOCEAN,Tuas Cres
